Name,Quantity,Level,Build Time,Town hall Level Required
Air_Bomb,6,6,3 days, townhall townhall12
Air_Defense,4,10,9 days 18 hours, townhall townhall12
Archer_Tower,8,16,6 days 6 hours, townhall townhall12
Archer_Tower,8,17,8 days 12 hours, townhall townhall12
Army_Camp,4,10,9 days 18 hours, townhall townhall12
Barrack,1,14,10 days, townhall townhall12
Bomb_Tower,2,7,9 days 18 hours, townhall townhall12
Cannon,7,16,9 days, townhall townhall12
Cannon,7,17,12 days, townhall townhall12
Clan_Castle,1,8,9 days 18 hours, townhall townhall12
Dark_Barrack,2,9,13 days, townhall townhall12
Dark_Elixir_Drill,3,9,7 days 12 hours, townhall townhall12
Dark_Elixir_Storage,1,7,3 days 12 hours, townhall townhall12
Eagle_Artillery,1,3,14 days, townhall townhall12
Elixir_Collector,7,15,5 days, townhall townhall12
Elixir_Storage,4,13,4 days, townhall townhall12
Giga_Tesla,1,1,0 seconds, townhall townhall12
Giga_Tesla,1,2,4 days, townhall townhall12
Giga_Tesla,1,3,7 days, townhall townhall12
Giga_Tesla,1,4,12 days, townhall townhall12
Giga_Tesla,1,5,14 days 12 hours, townhall townhall12
Gold_Mine,7,15,5 days, townhall townhall12
Gold_Storage,4,13,4 days, townhall townhall12
Grand_Warden,40,21,7 days, townhall townhall12
Grand_Warden,40,22,7 days, townhall townhall12
Grand_Warden,40,23,7 days, townhall townhall12
Grand_Warden,40,24,7 days, townhall townhall12
Grand_Warden,40,25,7 days, townhall townhall12
Grand_Warden,40,26,7 days, townhall townhall12
Grand_Warden,40,27,7 days, townhall townhall12
Grand_Warden,40,28,7 days, townhall townhall12
Grand_Warden,40,29,7 days, townhall townhall12
Grand_Warden,40,30,7 days, townhall townhall12
Grand_Warden,40,31,7 days, townhall townhall12
Grand_Warden,40,32,7 days, townhall townhall12
Grand_Warden,40,33,7 days, townhall townhall12
Grand_Warden,40,34,7 days, townhall townhall12
Grand_Warden,40,35,7 days, townhall townhall12
Grand_Warden,40,36,7 days, townhall townhall12
Grand_Warden,40,37,7 days, townhall townhall12
Grand_Warden,40,38,7 days, townhall townhall12
Grand_Warden,40,39,7 days, townhall townhall12
Grand_Warden,40,40,7 days, townhall townhall12
Hidden_Tesla,5,10,14 days, townhall townhall12
Laboratory,1,10,4 days 6 hours, townhall townhall12
Mortar,4,12,9 days 18 hours, townhall townhall12
Tornado_Trap,1,3,3 days, townhall townhall12
Wall,300,13,, townhall townhall12
Wizard_Tower,5,11,9 days 18 hours, townhall townhall12
Workshop,1,1,4 days 6 hours, townhall townhall12
Workshop,1,2,5 days 12 hours, townhall townhall12
Workshop,1,3,7 days, townhall townhall12
X-Bow,4,6,9 days 18 hours, townhall townhall12
