Name,Quantity,Level,Build Time,Town hall Level Required
Air_Defense,4,8,4 days 6 hours, townhall townhall10
Air_Sweeper,2,6,4 days, townhall townhall10
Archer_Tower,7,12,2 days 6 hours, townhall townhall10
Archer_Tower,7,13,3 days, townhall townhall10
Army_Camp,4,8,3 days, townhall townhall10
Barrack,1,12,5 days 12 hours, townhall townhall10
Bomb,6,7,2 days 12 hours, townhall townhall10
Bomb_Tower,2,4,3 days 12 hours, townhall townhall10
Cannon,6,12,2 days, townhall townhall10
Cannon,6,13,3 days, townhall townhall10
Clan_Castle,1,6,5 days, townhall townhall10
Dark_Barrack,2,7,5 days, townhall townhall10
Dark_Elixir_Drill,3,7,5 days, townhall townhall10
Dark_Spell_Factory,1,5,7 days 12 hours, townhall townhall10
Elixir_Collector,7,13,3 days, townhall townhall10
Giant_Bomb,5,4,3 days, townhall townhall10
Gold_Mine,7,13,3 days, townhall townhall10
Hidden_Tesla,4,8,6 days, townhall townhall10
Laboratory,1,8,1 days 18 hours, townhall townhall10
Mortar,4,8,3 days 6 hours, townhall townhall10
Mortar,4,9,4 days 6 hours, townhall townhall10
Seeking_Air_Mine,5,3,3 days, townhall townhall10
Skeleton_Trap,3,4,2 days, townhall townhall10
Spell_Factory,1,5,4 days 6 hours, townhall townhall10
Spring_Trap,6,5,3 days, townhall townhall10
Wall,275,11,, townhall townhall10
Wizard_Tower,4,8,3 days, townhall townhall10
Wizard_Tower,4,9,5 days 6 hours, townhall townhall10
X-Bow,3,4,5 days 6 hours, townhall townhall10
