Name,Quantity,Level,Build Time,Town hall Level Required
Army_Camp,1,1,5 minutes, townhall townhall1
Barrack,1,1,Instant, townhall townhall1
Barrack,1,2,1 minute, townhall townhall1
Barrack,1,3,15 minutes, townhall townhall1
Battle_Builder_Hut,-,1,Instant, townhall townhall1
Cannon,2,1,10 seconds, townhall townhall1
Cannon,2,2,15 minutes, townhall townhall1
Elixir_Collector,1,1,1 minute, townhall townhall1
Elixir_Collector,1,2,1 minute, townhall townhall1
Elixir_Storage,1,1,1 minute, townhall townhall1
Gold_Mine,1,1,1 minute, townhall townhall1
Gold_Mine,1,2,1 minute, townhall townhall1
Gold_Storage,1,1,1 minute, townhall townhall1
