Name,Quantity,Level,Build Time,Town hall Level Required
Air_Defense,1,1,0 days 3 hours, townhall townhall4
Air_Defense,1,2,0 days 12 hours, townhall townhall4
Archer_Tower,2,4,0 days 3 hours, townhall townhall4
Army_Camp,2,4,0 days 5 hours, townhall townhall4
Barrack,1,6,0 days 12 hours, townhall townhall4
Cannon,2,5,0 days 4 hours, townhall townhall4
Clan_Castle,1,2,0 days 8 hours, townhall townhall4
Elixir_Collector,4,7,0 days 6 hours, townhall townhall4
Elixir_Collector,4,8,0 days 8 hours, townhall townhall4
Elixir_Storage,2,7,0 days 4 hours, townhall townhall4
Elixir_Storage,2,8,0 days 5 hours, townhall townhall4
Gold_Mine,4,7,0 days 6 hours, townhall townhall4
Gold_Mine,4,8,0 days 8 hours, townhall townhall4
Gold_Storage,2,7,0 days 4 hours, townhall townhall4
Gold_Storage,2,8,0 days 5 hours, townhall townhall4
Laboratory,1,2,0 days 1 hour, townhall townhall4
Mortar,1,2,0 days 8 hours, townhall townhall4
Spring_Trap,2,1,Instant, townhall townhall4
Wall,75,4,, townhall townhall4
