Name,Quantity,Level,Build Time,Town hall Level Required
Air_Defense,3,6,2 days, townhall townhall8
Air_Sweeper,1,4,1 days 12 hours, townhall townhall8
Archer_Tower,5,9,0 days 16 hours, townhall townhall8
Archer_Tower,5,10,1 day, townhall townhall8
Barrack,1,10,2 days 12 hours, townhall townhall8
Bomb,6,5,0 days 18 hours, townhall townhall8
Bomb_Tower,1,1,1 day, townhall townhall8
Bomb_Tower,1,2,1 days 12 hours, townhall townhall8
Cannon,5,9,0 days 12 hours, townhall townhall8
Cannon,5,10,1 day, townhall townhall8
Clan_Castle,1,4,1 day, townhall townhall8
Dark_Barrack,2,3,1 day, townhall townhall8
Dark_Barrack,2,4,1 days 12 hours, townhall townhall8
Dark_Elixir_Storage,1,3,1 day, townhall townhall8
Dark_Elixir_Storage,1,4,1 days 12 hours, townhall townhall8
Dark_Spell_Factory,1,1,0 days 8 hours, townhall townhall8
Dark_Spell_Factory,1,2,2 days, townhall townhall8
Elixir_Collector,6,12,1 day, townhall townhall8
Giant_Bomb,3,3,1 day, townhall townhall8
Gold_Mine,6,12,1 day, townhall townhall8
Hidden_Tesla,3,4,1 day, townhall townhall8
Hidden_Tesla,3,5,2 days, townhall townhall8
Hidden_Tesla,3,6,3 days, townhall townhall8
Laboratory,1,6,0 days 16 hours, townhall townhall8
Mortar,4,6,2 days 12 hours, townhall townhall8
Skeleton_Trap,2,1,Instant, townhall townhall8
Skeleton_Trap,2,2,0 days 6 hours, townhall townhall8
Spring_Trap,6,3,1 day, townhall townhall8
Wall,225,8,, townhall townhall8
Wizard_Tower,3,5,1 day, townhall townhall8
Wizard_Tower,3,6,1 days 12 hours, townhall townhall8
