Name,Quantity,Level,Build Time,Town hall Level Required
Air_Bomb,5,5,2 days, townhall townhall11
Air_Defense,4,9,6 days 6 hours, townhall townhall11
Air_Sweeper,2,7,6 days 12 hours, townhall townhall11
Archer_Tower,8,14,3 days 12 hours, townhall townhall11
Archer_Tower,8,15,5 days, townhall townhall11
Army_Camp,4,9,6 days 6 hours, townhall townhall11
Barrack,1,13,7 days 12 hours, townhall townhall11
Bomb,6,8,2 days 18 hours, townhall townhall11
Bomb_Tower,2,5,4 days 6 hours, townhall townhall11
Bomb_Tower,2,6,6 days 6 hours, townhall townhall11
Cannon,7,14,5 days, townhall townhall11
Cannon,7,15,6 days, townhall townhall11
Clan_Castle,1,7,6 days 6 hours, townhall townhall11
Dark_Barrack,2,8,10 days, townhall townhall11
Dark_Elixir_Drill,3,8,6 days, townhall townhall11
Eagle_Artillery,1,1,7 days, townhall townhall11
Eagle_Artillery,1,2,10 days, townhall townhall11
Elixir_Collector,7,14,5 days, townhall townhall11
Elixir_Storage,4,12,2 days, townhall townhall11
Giant_Bomb,5,5,5 days, townhall townhall11
Gold_Mine,7,14,5 days, townhall townhall11
Gold_Storage,4,12,2 days, townhall townhall11
Grand_Warden,20,1,Instant, townhall townhall11
Grand_Warden,20,2,0 days 2 hours, townhall townhall11
Grand_Warden,20,3,0 days 4 hours, townhall townhall11
Grand_Warden,20,4,0 days 8 hours, townhall townhall11
Grand_Warden,20,5,0 days 12 hours, townhall townhall11
Grand_Warden,20,6,0 days 18 hours, townhall townhall11
Grand_Warden,20,7,1 day, townhall townhall11
Grand_Warden,20,8,1 days 6 hours, townhall townhall11
Grand_Warden,20,9,1 days 12 hours, townhall townhall11
Grand_Warden,20,10,2 days, townhall townhall11
Grand_Warden,20,11,2 days 12 hours, townhall townhall11
Grand_Warden,20,12,3 days, townhall townhall11
Grand_Warden,20,13,4 days, townhall townhall11
Grand_Warden,20,14,5 days, townhall townhall11
Grand_Warden,20,15,6 days, townhall townhall11
Grand_Warden,20,16,7 days, townhall townhall11
Grand_Warden,20,17,7 days, townhall townhall11
Grand_Warden,20,18,7 days, townhall townhall11
Grand_Warden,20,19,7 days, townhall townhall11
Grand_Warden,20,20,7 days, townhall townhall11
Hidden_Tesla,4,9,10 days, townhall townhall11
Laboratory,1,9,2 days 18 hours, townhall townhall11
Mortar,4,10,5 days 12 hours, townhall townhall11
Mortar,4,11,8 days 12 hours, townhall townhall11
Spell_Factory,1,6,5 days, townhall townhall11
Tornado_Trap,1,1,Instant, townhall townhall11
Tornado_Trap,1,2,2 days, townhall townhall11
Wall,300,12,, townhall townhall11
Wizard_Tower,5,10,6 days 12 hours, townhall townhall11
X-Bow,4,5,6 days 6 hours, townhall townhall11
