Name,Quantity,Level,Build Time,Town hall Level Required
Archer_Tower,1,1,1 minute, townhall townhall2
Archer_Tower,1,2,30 minutes, townhall townhall2
Army_Camp,1,2,0 days 1 hour, townhall townhall2
Barrack,1,4,0 days 1 hour, townhall townhall2
Cannon,2,3,45 minutes, townhall townhall2
Elixir_Collector,2,3,15 minutes, townhall townhall2
Elixir_Collector,2,4,0 days 1 hour, townhall townhall2
Elixir_Storage,1,2,15 minutes, townhall townhall2
Elixir_Storage,1,3,30 minutes, townhall townhall2
Gold_Mine,2,3,15 minutes, townhall townhall2
Gold_Mine,2,4,0 days 1 hour, townhall townhall2
Gold_Storage,1,2,15 minutes, townhall townhall2
Gold_Storage,1,3,30 minutes, townhall townhall2
Wall,25,1,, townhall townhall2
Wall,25,2,, townhall townhall2
