Name,Quantity,Level,Build Time,Town hall Level Required
Air_Bomb,4,4,1 day, townhall townhall9
Air_Defense,4,7,3 days, townhall townhall9
Air_Sweeper,2,5,2 days, townhall townhall9
Archer_Tower,6,11,1 days 6 hours, townhall townhall9
Army_Camp,4,7,2 days, townhall townhall9
Barrack,1,11,4 days, townhall townhall9
Bomb,6,6,1 days 12 hours, townhall townhall9
Bomb_Tower,1,3,2 days, townhall townhall9
Cannon,5,11,1 days 12 hours, townhall townhall9
Clan_Castle,1,5,2 days, townhall townhall9
Dark_Barrack,2,5,2 days, townhall townhall9
Dark_Barrack,2,6,3 days, townhall townhall9
Dark_Elixir_Drill,3,4,2 days, townhall townhall9
Dark_Elixir_Drill,3,5,3 days, townhall townhall9
Dark_Elixir_Drill,3,6,4 days, townhall townhall9
Dark_Elixir_Storage,1,5,2 days, townhall townhall9
Dark_Elixir_Storage,1,6,3 days, townhall townhall9
Dark_Spell_Factory,1,3,3 days, townhall townhall9
Dark_Spell_Factory,1,4,4 days, townhall townhall9
Hidden_Tesla,4,7,4 days, townhall townhall9
Laboratory,1,7,1 day, townhall townhall9
Mortar,4,7,3 days, townhall townhall9
Seeking_Air_Mine,4,2,1 day, townhall townhall9
Skeleton_Trap,2,3,1 day, townhall townhall9
Spell_Factory,1,4,3 days 12 hours, townhall townhall9
Spring_Trap,6,4,2 days, townhall townhall9
Wall,250,9,, townhall townhall9
Wall,250,10,, townhall townhall9
Wizard_Tower,4,7,2 days, townhall townhall9
X-Bow,2,1,2 days, townhall townhall9
X-Bow,2,2,4 days, townhall townhall9
X-Bow,2,3,5 days, townhall townhall9
