Name,Quantity,Level,Build Time,Town hall Level Required
Air_Defense,2,4,1 day, townhall townhall6
Air_Sweeper,1,1,0 days 8 hours, townhall townhall6
Air_Sweeper,1,2,0 days 16 hours, townhall townhall6
Archer_Tower,3,7,0 days 12 hours, townhall townhall6
Army_Camp,3,6,0 days 12 hours, townhall townhall6
Barrack,1,8,1 day, townhall townhall6
Cannon,3,7,0 days 8 hours, townhall townhall6
Clan_Castle,1,3,0 days 12 hours, townhall townhall6
Elixir_Storage,2,10,0 days 12 hours, townhall townhall6
Giant_Bomb,1,1,Instant, townhall townhall6
Giant_Bomb,1,2,0 days 6 hours, townhall townhall6
Gold_Storage,2,10,0 days 12 hours, townhall townhall6
Laboratory,1,4,0 days 4 hours, townhall townhall6
Mortar,2,4,1 days 12 hours, townhall townhall6
Spell_Factory,1,2,1 day, townhall townhall6
Wall,125,6,, townhall townhall6
Wizard_Tower,2,3,0 days 12 hours, townhall townhall6
