Name,Quantity,Level,Build Time,Town hall Level Required
Air_Bomb,6,7,4 days 12 hours, townhall townhall13
Air_Bomb,6,8,5 days 6 hours, townhall townhall13
Air_Defense,4,11,12 days, townhall townhall13
Archer_Tower,8,18,11 days 6 hours, townhall townhall13
Archer_Tower,8,19,12 days, townhall townhall13
Army_Camp,4,11,12 days, townhall townhall13
Barrack,1,15,13 days, townhall townhall13
Bomb,7,9,4 days 12 hours, townhall townhall13
Bomb_Tower,2,8,12 days, townhall townhall13
Cannon,7,18,15 days, townhall townhall13
Cannon,7,19,16 days, townhall townhall13
Clan_Castle,1,9,13 days 12 hours, townhall townhall13
Dark_Elixir_Storage,1,8,7 days 12 hours, townhall townhall13
Eagle_Artillery,1,4,18 days, townhall townhall13
Elixir_Storage,4,14,6 days 18 hours, townhall townhall13
Giant_Bomb,6,6,7 days, townhall townhall13
Giant_Bomb,6,7,9 days, townhall townhall13
Gold_Storage,4,14,6 days 18 hours, townhall townhall13
Grand_Warden,50,41,7 days 12 hours, townhall townhall13
Grand_Warden,50,42,7 days 12 hours, townhall townhall13
Grand_Warden,50,43,7 days 12 hours, townhall townhall13
Grand_Warden,50,44,7 days 12 hours, townhall townhall13
Grand_Warden,50,45,7 days 12 hours, townhall townhall13
Grand_Warden,50,46,8 days, townhall townhall13
Grand_Warden,50,47,8 days, townhall townhall13
Grand_Warden,50,48,8 days, townhall townhall13
Grand_Warden,50,49,8 days, townhall townhall13
Grand_Warden,50,50,8 days, townhall townhall13
Hidden_Tesla,5,11,16 days, townhall townhall13
Hidden_Tesla,5,12,17 days, townhall townhall13
Laboratory,1,11,6 days 18 hours, townhall townhall13
Mortar,4,13,12 days, townhall townhall13
Scattershot,2,1,15 days, townhall townhall13
Scattershot,2,2,17 days, townhall townhall13
Seeking_Air_Mine,7,4,7 days, townhall townhall13
Spell_Factory,1,7,9 days, townhall townhall13
Wall,300,14,, townhall townhall13
Wizard_Tower,5,12,12 days, townhall townhall13
Wizard_Tower,5,13,12 days 18 hours, townhall townhall13
Workshop,1,4,10 days 12 hours, townhall townhall13
Workshop,1,5,12 days, townhall townhall13
X-Bow,4,7,12 days, townhall townhall13
X-Bow,4,8,12 days 18 hours, townhall townhall13
